,Nb defined years,Series Code,Short definition
108,2007,SP.POP.AG17.MA.UN,"Population, age 17, male refers to the male population at the specified age."
109,2007,SP.POP.AG16.MA.UN,"Population, age 16, male refers to the male population at the specified age."
110,2007,SP.POP.AG15.MA.UN,"Population, age 15, male refers to the male population at the specified age."
111,2007,SP.POP.AG13.MA.UN,"Population, age 13, male refers to the male population at the specified age."
112,2007,SP.POP.AG01.MA.UN,"Population, age 1, male refers to the male population at the specified age."
113,2007,SP.POP.AG12.MA.UN,"Population, age 12, male refers to the male population at the specified age."
114,2007,SP.POP.AG11.MA.UN,"Population, age 11, male refers to the male population at the specified age."
115,2007,SP.POP.AG10.MA.UN,"Population, age 10, male refers to the male population at the specified age."
116,2007,SP.POP.AG09.MA.UN,"Population, age 9, male refers to the male population at the specified age."
117,2007,SP.POP.AG08.MA.UN,"Population, age 8, male refers to the male population at the specified age."
118,2007,SP.POP.AG07.MA.UN,"Population, age 7, male refers to the male population at the specified age."
119,2007,SP.POP.AG06.MA.UN,"Population, age 6, male refers to the male population at the specified age."
120,2007,SP.POP.AG05.MA.UN,"Population, age 5, male refers to the male population at the specified age."
121,2007,SP.POP.AG04.MA.UN,"Population, age 4, male refers to the male population at the specified age."
122,2007,SP.POP.AG03.MA.UN,"Population, age 3, male refers to the male population at the specified age."
123,2007,SP.POP.AG02.MA.UN,"Population, age 2, male refers to the male population at the specified age."
124,2007,SP.POP.1217.TO.UN,"Population, ages 12-17, total is the total population age 12-17."
125,2007,SP.POP.1318.MA.UN,"Population, ages 13-18, male is the total number of males age 13-18."
126,2007,SP.POP.1217.FE.UN,"Population, ages 12-17, female is the total number of females age 12-17."
127,2007,SP.POP.0610.MA.UN,"Population, ages 6-10, male is the total number of males age 6-10."
128,2007,SP.POP.0611.FE.UN,"Population, ages 6-11, female is the total number of females age 6-11."
129,2007,SP.POP.0611.MA.UN,"Population, ages 6-11, male is the total number of males age 6-11."
130,2007,SP.POP.0611.TO.UN,"Population, ages 6-11, total is the total population age 6-11."
131,2007,SP.POP.0612.FE.UN,"Population, ages 6-12, female is the total number of females age 6-12."
132,2007,SP.POP.0612.MA.UN,"Population, ages 6-12, male is the total number of males age 6-12."
133,2007,SP.POP.0612.TO.UN,"Population, ages 6-12, total is the total population age 6-12."
134,2007,SP.POP.0709.FE.UN,"Population, ages 7-9, female is the total number of females age 7-9."
135,2007,SP.POP.1216.TO.UN,"Population, ages 12-16, total is the total population age 12-16."
136,2007,SP.POP.0709.TO.UN,"Population, ages 7-9, total is the total population age 7-9."
137,2007,SP.POP.0710.FE.UN,"Population, ages 7-10, female is the total number of females age 7-10."
138,2007,SP.POP.0710.MA.UN,"Population, ages 7-10, male is the total number of males age 7-10."
139,2007,SP.POP.0710.TO.UN,"Population, ages 7-10, total is the total population age 7-10."
140,2007,SP.POP.0711.FE.UN,"Population, ages 7-11, female is the total number of females age 7-11."
141,2007,SP.POP.0711.MA.UN,"Population, ages 7-11, male is the total number of males age 7-11."
142,2007,SP.POP.0711.TO.UN,"Population, ages 7-11, total is the total population age 7-11."
143,2007,SP.POP.0712.FE.UN,"Population, ages 7-12, female is the total number of females age 7-12."
144,2007,SP.POP.0712.MA.UN,"Population, ages 7-12, male is the total number of males age 7-12."
145,2007,SP.POP.0610.TO.UN,"Population, ages 6-10, total is the total population age 6-10."
146,2007,SP.POP.0610.FE.UN,"Population, ages 6-10, female is the total number of females age 6-10."
147,2007,SP.POP.0713.FE.UN,"Population, ages 7-13, female is the total number of females age 7-13."
148,2007,SP.POP.0609.TO.UN,"Population, ages 6-9, female is the total number of females age 6-9."
149,2007,SP.POP.0305.FE.UN,"Population, ages 3-5, female is the total number of females age 3-5."
150,2007,SP.POP.0305.MA.UN,"Population, ages 3-5, male is the total number of males age 3-5."
151,2007,SP.POP.0305.TO.UN,"Population, ages 3-5, total is the total population age 3-5."
152,2007,SP.POP.0406.FE.UN,"Population, ages 4-6, female is the total number of females age 4-6."
153,2007,SP.POP.0406.MA.UN,"Population, ages 4-6, male is the total number of males age 4-6."
154,2007,SP.POP.0406.TO.UN,"Population, ages 4-6, total is the total population age 4-6."
155,2007,SP.POP.0509.FE.UN,"Population, ages 5-9, female is the total number of females age 5-9."
156,2007,SP.POP.0509.MA.UN,"Population, ages 5-9, male is the total number of males age 5-9."
157,2007,SP.POP.0509.TO.UN,"Population, ages 5-9, total is the total population age 5-9."
158,2007,SP.POP.0510.FE.UN,"Population, ages 5-10, female is the total number of females age 5-10."
159,2007,SP.POP.0510.MA.UN,"Population, ages 5-10, male is the total number of males age 5-10."
160,2007,SP.POP.0510.TO.UN,"Population, ages 5-10, total is the total population age 5-10."
161,2007,SP.POP.0511.FE.UN,"Population, ages 5-11, female is the total number of females age 5-11."
162,2007,SP.POP.0511.MA.UN,"Population, ages 5-11, male is the total number of males age 5-11."
163,2007,SP.POP.0511.TO.UN,"Population, ages 5-11, total is the total population age 5-11."
164,2007,SP.POP.0609.FE.UN,"Population, ages 6-9, male is the total number of males age 6-9."
165,2007,SP.POP.0609.MA.UN,"Population, ages 6-9, total is the total population age 6-9."
166,2007,SP.POP.0712.TO.UN,"Population, ages 7-12, total is the total population age 7-12."
167,2007,SP.POP.0709.MA.UN,"Population, ages 7-9, male is the total number of males age 7-9."
168,2007,SP.POP.1017.TO.UN,"Population, ages 10-17, total is the total population age 10-17."
169,2007,SP.POP.1018.FE.UN,"Population, ages 10-18, female is the total number of females age 10-18."
170,2007,SP.POP.1215.TO.UN,"Population, ages 12-15, total is the total population age 12-15."
171,2007,SP.POP.1015.TO.UN,"Population, ages 10-15, total is the total population age 10-15."
172,2007,SP.POP.1215.MA.UN,"Population, ages 12-15, male is the total number of males age 12-15."
173,2007,SP.POP.1215.FE.UN,"Population, ages 12-15, female is the total number of females age 12-15."
174,2007,SP.POP.1118.TO.UN,"Population, ages 11-18, total is the total population age 11-18."
175,2007,SP.POP.1118.MA.UN,"Population, ages 11-18, male is the total number of males age 11-18."
176,2007,SP.POP.1118.FE.UN,"Population, ages 11-18, female is the total number of females age 11-18."
177,2007,SP.POP.1016.FE.UN,"Population, ages 10-16, female is the total number of females age 10-16."
178,2007,SP.POP.1117.TO.UN,"Population, ages 11-17, total is the total population age 11-17."
179,2007,SP.POP.1016.MA.UN,"Population, ages 10-16, male is the total number of males age 10-16."
180,2007,SP.POP.1117.MA.UN,"Population, ages 11-17, male is the total number of males age 11-17."
181,2007,SP.POP.1117.FE.UN,"Population, ages 11-17, female is the total number of females age 11-17."
182,2007,SP.POP.1016.TO.UN,"Population, ages 10-16, total is the total population age 10-16."
183,2007,SP.POP.1116.TO.UN,"Population, ages 11-16, total is the total population age 11-16."
184,2007,SP.POP.1116.MA.UN,"Population, ages 11-16, male is the total number of males age 11-16."
185,2007,SP.POP.1017.FE.UN,"Population, ages 10-17, female is the total number of females age 10-17."
186,2007,SP.POP.1116.FE.UN,"Population, ages 11-16, female is the total number of females age 11-16."
187,2007,SP.POP.1115.TO.UN,"Population, ages 11-15, total is the total population age 11-15."
188,2007,SP.POP.1115.MA.UN,"Population, ages 11-15, male is the total number of males age 11-15."
189,2007,SP.POP.1115.FE.UN,"Population, ages 11-15, female is the total number of females age 11-15."
190,2007,SP.POP.1017.MA.UN,"Population, ages 10-17, male is the total number of males age 10-17."
191,2007,SP.POP.1018.TO.UN,"Population, ages 10-18, total is the total population age 10-18."
192,2007,SP.POP.1018.MA.UN,"Population, ages 10-18, male is the total number of males age 10-18."
193,2007,SP.POP.1216.FE.UN,"Population, ages 12-16, female is the total number of females age 12-16."
194,2007,SP.POP.1216.MA.UN,"Population, ages 12-16, male is the total number of males age 12-16."
195,2007,SP.POP.0713.MA.UN,"Population, ages 7-13, male is the total number of males age 7-13."
196,2007,SP.POP.0713.TO.UN,"Population, ages 7-13, total is the total population age 7-13."
197,2007,SP.POP.1015.MA.UN,"Population, ages 10-15, male is the total number of males age 10-15."
198,2007,SP.POP.1014.FE.UN,"Population, ages 10-14, female is the total number of females age 10-14."
199,2007,SP.POP.1014.MA.UN,"Population, ages 10-14, male is the total number of males age 10-14."
200,2007,SP.POP.1014.TO.UN,"Population, ages 10-14, total is the total population age 10-14."
201,2007,SP.POP.1015.FE.UN,"Population, ages 10-15, female is the total number of females age 10-15."
202,2004,SE.SEC.ENRL.GC.FE.ZS,
203,2004,SE.SEC.ENRL.GC.FE,
204,1961,SE.SEC.ENRR.LO,
205,1942,SE.SEC.ENRR.LO.FE,
206,1942,SE.SEC.ENRR.LO.MA,
207,1890,UIS.E.2.GPV,
208,1889,SE.SEC.ENRL,
209,1885,UIS.E.2.GPV.F,
210,1878,SE.PRM.PRIV.ZS,
211,1868,SE.SEC.ENRL.FE,
212,1868,SE.SEC.ENRL.FE.ZS,
213,1862,SE.PRM.GINT.ZS,
214,1846,SE.PRE.ENRL,
215,1838,UIS.E.1.G1,
216,1837,UIS.E.2,
217,1836,UIS.SLE.1,
218,1832,UIS.E.3.GPV,
219,1832,SE.SEC.ENRR,
220,1828,UIS.E.2.F,
221,1828,UIS.E.3.GPV.F,
222,1828,UIS.FEP.2,
223,1828,UIS.FEP.3.GPV,
224,1826,SP.POP.AG21.FE.UN,
225,1826,SP.POP.AG12.FE.UN,
226,1826,SP.POP.AG00.TO.UN,
227,1826,SP.POP.AG11.FE.UN,
228,1826,SP.POP.AG10.TO.UN,
229,1826,SP.POP.AG01.FE.UN,
230,1826,SP.POP.AG10.FE.UN,
231,1826,SP.POP.AG09.TO.UN,
232,1826,SP.POP.AG09.FE.UN,
233,1826,SP.POP.AG08.TO.UN,
234,1826,SP.POP.AG01.TO.UN,
235,1826,SP.POP.AG08.FE.UN,
236,1826,SP.POP.AG07.TO.UN,
237,1826,SP.POP.AG07.FE.UN,
238,1826,SE.PRM.GINT.FE.ZS,
239,1826,SP.POP.AG06.TO.UN,
240,1826,SP.POP.AG06.FE.UN,
241,1826,UIS.E.1.G1.F,
242,1826,SP.POP.AG05.TO.UN,
243,1826,SP.POP.AG05.FE.UN,
244,1826,SP.POP.AG04.TO.UN,
245,1826,SP.POP.AG04.FE.UN,
246,1826,SP.POP.AG03.TO.UN,
247,1826,SP.POP.AG03.FE.UN,
248,1826,SP.POP.AG02.TO.UN,
249,1826,SP.POP.AG11.TO.UN,
250,1826,SP.POP.AG12.TO.UN,
251,1826,SP.POP.AG20.TO.UN,
252,1826,SP.POP.AG13.FE.UN,
253,1826,SP.POP.AG20.FE.UN,
254,1826,SP.POP.AG22.FE.UN,
255,1826,SP.POP.AG19.TO.UN,
256,1826,SP.POP.AG22.TO.UN,
257,1826,SP.POP.AG23.FE.UN,
258,1826,SP.POP.AG19.FE.UN,
259,1826,SP.POP.AG23.TO.UN,
260,1826,SP.POP.AG24.FE.UN,
261,1826,SP.POP.AG18.TO.UN,
262,1826,SP.POP.AG24.TO.UN,
263,1826,SP.POP.AG25.FE.UN,
264,1826,SP.POP.AG18.FE.UN,
265,1826,SP.POP.AG25.TO.UN,
266,1826,SP.POP.AG17.TO.UN,
267,1826,SP.POP.AG17.FE.UN,
268,1826,SP.POP.AG16.TO.UN,
269,1826,SP.POP.AG16.FE.UN,
270,1826,SP.POP.AG15.TO.UN,
271,1826,SP.POP.AG15.FE.UN,
272,1826,SP.POP.AG14.TO.UN,
273,1826,SP.POP.AG14.FE.UN,
274,1826,SP.POP.AG13.TO.UN,
275,1826,SP.POP.AG00.FE.UN,
276,1826,SP.POP.AG02.FE.UN,
277,1826,SP.POP.AG21.TO.UN,
278,1825,SE.PRM.GINT.MA.ZS,
279,1821,SE.SEC.ENRR.UP,
280,1818,UIS.GTVP.2.GPV,
281,1816,UIS.SLE.1.M,
282,1816,UIS.SLE.1.F,
283,1812,UIS.GTVP.2.GPV.F,
284,1812,UIS.GTVP.2.GPV.M,
285,1808,SE.PRE.ENRL.FE,
286,1808,SE.PRE.ENRL.FE.ZS,
287,1801,SE.SEC.ENRR.FE,
288,1801,SE.SEC.ENRR.MA,
289,1801,SE.ENR.SECO.FM.ZS,
290,1794,SE.SEC.ENRR.UP.MA,
291,1793,UIS.E.1.G2,
292,1792,UIS.E.1.G3,
293,1788,SE.PRM.REPT.ZS,
294,1786,UIS.GOER.56,
295,1785,SE.PRM.TCHR,
296,1785,SE.PRE.ENRR,
297,1781,UIS.E.1.G4,
298,1780,UIS.E.1.G2.F,
299,1779,UIS.E.1.G3.F,
300,1778,SE.PRM.ENRL.TC.ZS,
301,1768,UIS.E.1.G4.F,
302,1761,UIS.NE.1.G1,
303,1758,SE.ENR.PRSC.FM.ZS,
304,1754,SE.PRM.REPT.MA.ZS,
305,1754,SE.PRM.REPT.FE.ZS,
306,1751,UIS.GER.2.GPI,
307,1742,SE.PRE.ENRR.MA,
308,1742,SE.PRE.ENRR.FE,
309,1736,UIS.E.3,
310,1733,UIS.FNP.1,
311,1733,UIS.NE.1.G1.F,
312,1727,SE.PRM.TCHR.FE.ZS,
313,1727,SE.PRM.TCHR.FE,
314,1721,UIS.E.3.F,
315,1720,UIS.FEP.3,
316,1715,UIS.SLE.12,
317,1715,UIS.GER.12,
318,1705,UIS.SAP.4,
319,1702,SE.TER.ENRL,
320,1694,UIS.SAP.4.F,
321,1694,UIS.SAP.4.M,
322,1692,UIS.SLE.12.F,
323,1692,UIS.SLE.12.M,
324,1692,UIS.GER.12.F,
325,1692,UIS.GER.12.GPI,
326,1692,UIS.GER.12.M,
327,1689,SE.PRM.CMPT.ZS,
328,1685,UIS.E.1.PR,
329,1684,SE.PRM.NENR,
330,1684,SE.PRM.TENR,
331,1678,UIS.ROFST.1,
332,1678,SE.PRM.UNER,
333,1677,UIS.GTVP.23.GPV,
334,1668,UIS.GTVP.3.GPV,
335,1658,UIS.GTVP.23.GPV.M,
336,1658,UIS.GTVP.23.GPV.F,
337,1654,UIS.GTVP.3.GPV.F,
338,1654,UIS.GTVP.3.GPV.M,
339,1654,SE.TER.ENRL.FE,
340,1652,SE.TER.ENRL.FE.ZS,
341,1651,UIS.GER.3.GPI,
342,1650,SE.SEC.ENRL.VO,
343,1645,SE.PRM.CMPT.FE.ZS,
344,1645,SE.PRM.CMPT.MA.ZS,
345,1644,SE.SEC.ENRL.VO.ZS,
346,1640,UIS.AIR.1.GPI,
347,1639,SE.TER.ENRR,
348,1635,UIS.FEP.2.GPV,
349,1634,UIS.SLE.123,
350,1634,UIS.GER.123,
351,1625,SE.SEC.ENRL.MA.VO.ZS,
352,1624,SE.SEC.ENRL.VO.FE,
353,1622,UIS.SLE.0,
354,1621,SE.SEC.PRIV.ZS,
355,1617,SE.PRE.PRIV.ZS,
356,1616,SE.SEC.ENRL.FE.VO.ZS,
357,1608,UIS.SAP.CE,
358,1608,SH.DYN.AIDS.ZS,
359,1602,UIS.GER.123.F,
360,1602,UIS.GER.123.M,
361,1602,UIS.SLE.123.F,
362,1602,UIS.SLE.123.M,
363,1602,UIS.SLE.123.GPI,
364,1599,UIS.SAP.CE.M,
365,1599,UIS.SAP.CE.F,
366,1592,SE.TER.ENRR.MA,
367,1592,SE.TER.ENRR.FE,
368,1592,SE.ENR.TERT.FM.ZS,
369,1587,SE.SEC.ENRL.VO.FE.ZS,
370,1580,UIS.E.1.G5,
371,1577,UIS.SLE.0.GPI,
372,1577,UIS.SLE.0.F,
373,1577,UIS.SLE.0.M,
374,1577,UIS.GER.0.GPI,
375,1574,SE.SEC.CMPT.LO.ZS,
376,1566,UIS.SLE.1.GPI,
377,1564,UIS.E.1.G5.F,
378,1543,UIS.OAEP.1,
379,1543,UIS.R.1,
380,1539,SE.PRM.TENR.FE,
381,1539,SE.PRM.TENR.MA,
382,1538,SE.PRM.NENR.MA,
383,1538,SE.PRM.NENR.FE,
384,1535,SE.SEC.CMPT.LO.FE.ZS,
385,1535,SE.SEC.CMPT.LO.MA.ZS,
386,1534,SE.PRM.UNER.FE,
387,1534,UIS.ROFST.1.F,
388,1534,SE.PRM.UNER.MA,
389,1534,UIS.ROFST.1.M,
390,1519,UIS.OAEP.1.M,
391,1516,UIS.SLE.56,
392,1514,UIS.OAEP.1.F,
393,1509,UIS.R.1.F,
394,1507,UIS.E.2.GPV.G1.T,
395,1503,UIS.NERT.1.GPI,
396,1500,UIS.REPP.1.GPI,
397,1497,UIS.E.23.PR,
398,1495,SE.PRE.TCHR,
399,1490,UIS.E.2.GPV.G1.F,
400,1474,SE.PRE.ENRL.TC.ZS,
401,1469,UIS.NIRA.1,
402,1467,UIS.SLE.56.F,
403,1467,UIS.SLE.56.GPI,
404,1467,UIS.SLE.56.M,
405,1445,SE.SCH.LIFE,
406,1444,SE.PRE.TCHR.FE.ZS,
407,1444,SE.PRE.TCHR.FE,
408,1444,UIS.E.3.V,
409,1443,UIS.E.2.GPV.G2.T,
410,1443,UIS.GTVP.3.V,
411,1442,SE.TOT.ENRR,
412,1431,UIS.SLE.23,
413,1428,UIS.E.2.GPV.G2.F,
414,1428,UIS.GTVP.3.V.M,
415,1426,UIS.NIRA.1.M,
416,1426,UIS.NIRA.1.GPI,
417,1426,UIS.NIRA.1.F,
418,1419,SE.SEC.TCHR,
419,1411,UIS.FEP.3.V,
420,1411,UIS.GTVP.3.V.F,
421,1410,UIS.E.3.V.F,
422,1406,SE.SCH.LIFE.FE,
423,1406,SE.SCH.LIFE.MA,
424,1402,UIS.SLE.23.M,
425,1402,UIS.SLE.23.GPI,
426,1402,UIS.SLE.23.F,
427,1399,UIS.E.2.PU,
428,1391,SE.SEC.ENRL.TC.ZS,
429,1386,UIS.R.2.GPV,
430,1381,UIS.AIR.2.GPV.GLAST.GPI,
431,1373,UIS.REPP.2.GPV,
432,1372,UIS.NERA.1.GPI,
433,1371,UIS.NER.1.GPI,
434,1362,SE.SEC.TCHR.FE,
435,1361,SE.SEC.TCHR.FE.ZS,
436,1359,UIS.OMR.56,
437,1354,UIS.E.1.G6,
438,1351,UIS.R.2.GPV.F,
439,1348,UIS.E.1.G6.F,
440,1339,UIS.REPP.2.GPV.M,
441,1337,UIS.REPP.2.GPV.F,
442,1337,UIS.REPP.2.GPV.GPI,
443,1332,SE.SEC.NENR,
444,1328,UIS.E.2.GPV.G3.T,
445,1317,SE.TER.TCHR,
446,1314,SE.SEC.PROG.ZS,
447,1312,UIS.E.2.GPV.G3.F,
448,1311,UIS.NERT.1,
449,1310,UIS.SLEN.12.T,
450,1309,UIS.E.3.PU,
451,1309,UIS.E.2.PR,
452,1302,SE.SEC.NENR.MA,
453,1302,SE.SEC.NENR.FE,
454,1299,UIS.PRP.2,
455,1284,UIS.ROFST.2,
456,1278,UIS.NERT.1.M,
457,1278,UIS.NERT.1.F,
458,1272,UIS.AIR.2.GPV,
459,1269,UIS.TE_100000.56,
460,1263,SE.SEC.PROG.FE.ZS,
461,1263,SE.SEC.PROG.MA.ZS,
462,1262,UIS.SLEN.12.F,
463,1262,UIS.SLEN.12.M,
464,1262,UIS.SLEN.12.GPI,
465,1252,SE.PRM.PRSL.ZS,
466,1252,SE.PRM.DROP.ZS,
467,1246,UIS.E.3.PR,
468,1237,UIS.ESL.1.T,
469,1234,UIS.E.0.PR.T,
470,1232,UIS.E.02.PU,
471,1226,UIS.R.2.GPV.G1,
472,1225,UIS.AIR.2.GPV.M,
473,1225,UIS.AIR.2.GPV.GPI,
474,1225,UIS.AIR.2.GPV.F,
475,1222,SE.TER.TCHR.FE,
476,1221,UIS.PRP.3,
477,1220,UIS.TE_100000.56.F,
478,1220,UIS.TE_100000.56.M,
479,1220,SE.TER.TCHR.FE.ZS,
480,1219,UIS.R.1.G1,
481,1214,UIS.REPP.1.G1,
482,1212,UIS.REPP.2.GPV.G1,
483,1212,UIS.E.5.B,
484,1204,UIS.PTRHC.2,
485,1201,UIS.TEP.5.B,
486,1199,UIS.E.5.B.F,
487,1199,UIS.R.1.G2,
488,1199,UIS.FEP.5.B,
489,1196,SE.XPD.TOTL.GD.ZS,"Total general (local, regional and central) government expenditure on education (current, capital, and transfers), expressed as a percentage of GDP. It includes expenditure funded by transfers from international sources to government. Divide total government expenditure for a given level of education (ex. primary, secondary, or all levels combined) by the GDP, and multiply by 100. A higher percentage of GDP spent on education shows a higher government priority for education, but also a higher capacity of the government to raise revenues for public spending, in relation to the size of the country's economy. When interpreting this indicator however, one should keep in mind in some countries, the private sector and/or households may fund a higher proportion of total funding for education, thus making government expenditure appear lower than in other countries. For more information, consult the UNESCO Institute of Statistics website: http://www.uis.unesco.org/Education/"
490,1195,UIS.UAEP.1,
491,1195,UIS.R.1.G4,
492,1193,UIS.E.02.PR,
493,1193,UIS.REPP.1.G2,
494,1188,UIS.REPP.1.G4,
495,1187,UIS.R.1.G1.F,
496,1186,UIS.REPP.1.G1.M,
497,1186,UIS.R.1.G3,
498,1182,UIS.REPP.1.G1.F,
499,1180,UIS.REPP.1.G3,
500,1180,UIS.R.2.GPV.G1.F,
501,1174,UIS.E.0.T,
502,1174,UIS.REPP.2.GPV.G1.M,
503,1173,UIS.UAEP.1.F,
504,1173,SE.PRE.NENR,
505,1172,UIS.UAEP.1.M,
506,1167,UIS.R.1.G2.F,
507,1167,UIS.REPP.2.GPV.G1.F,
508,1166,UIS.OFST.3.CP,
509,1166,UIS.ROFST.3.CP,
510,1166,UIS.NERT.2,
511,1165,UIS.OFST.2,
512,1163,UIS.REPP.1.G2.M,
513,1161,UIS.REPP.1.G2.F,
514,1161,SE.PRM.DROP.MA.ZS,
515,1160,SE.PRM.PRSL.MA.ZS,
516,1160,SE.PRM.PRSL.FE.ZS,
517,1160,SE.PRM.DROP.FE.ZS,
